u,v,name,length,highway,oneway
42459137,42447105,East 79th Street,142.034638279,secondary,False
42459137,42438490,Park Avenue,87.3899087392,secondary,True
42459137,596776089,East 79th Street,23.1325137021,secondary,False
1773060099,1773055865,Chatham Square,58.8591127582,primary,True
1773060099,588455742,East Broadway,14.3823263064,secondary,False
373268484,247221417,Terrace Drive,90.4617977402,unclassified,True
373268484,42436475,Terrace Drive,92.1247203631,unclassified,False
42426374,595703226,Central Park North,259.050036809,secondary,False
42426374,42446723,Malcolm X Boulevard,76.389085175,secondary,True
42426374,3099327964,Central Park North,13.2706015911,secondary,False
42446849,42429633,"[u'River Terrace', u'Vesey Place']",172.754137576,residential,False
42446849,42429595,North End Avenue,56.9951094921,unclassified,False
42446849,373880031,"[u'North End Avenue', u'Vesey Street']",259.814544272,unclassified,False
42429100,42429104,Broadway,26.086349665,primary,False
42429100,42454300,West 190th Street,83.4040440845,residential,False
42429100,42429094,Broadway,137.89580843,primary,False
42442764,42436283,Laurel Hill Terrace,147.459722334,residential,False
42442764,42436285,Amsterdam Avenue,79.3783414257,secondary,False
42442764,42442766,Amsterdam Avenue,79.6711359011,secondary,False
42452598,42457421,West 4th Street,73.2320871362,unclassified,True
42452598,42431805,Charles Street,136.88766503,unclassified,True
278609934,42422283,Pearl Street,15.530726059,primary,False
278609934,3884569924,Pearl Street,57.7831508613,primary,False
42442770,42451932,"[u'Amsterdam Avenue', u'Fort George Avenue']",783.558453642,secondary,False
42442770,42442766,Amsterdam Avenue,76.4464287822,secondary,False
42442755,42445672,West 186th Street,111.620331742,residential,True
42442755,42436285,Amsterdam Avenue,86.7480846696,secondary,False
42442755,42442750,Amsterdam Avenue,86.3808100952,secondary,False
42430468,42448563,West Houston Street,188.165649838,tertiary,True
1773076509,1773076778,Bowery,78.0003629961,primary,True
1773076511,42429752,Kenmare Street,12.2485104336,primary,False
1773076511,42429754,Delancey Street,102.866317412,primary,True
1773076511,1773076509,Bowery,73.8131378963,primary,True
1773076513,42432184,Bowery,74.2202026456,primary,False
1773076513,1773076511,Bowery,27.0500212365,primary,True
42444123,42444129,South Street,15.4825831631,primary,False
42444123,42444116,South Street,177.418107267,primary,False
42442788,42446398,"[u'Stanton Street', u'Baruch Place', u'Mangin Street']",313.596759514,residential,True
42442788,42446398,East Houston Street,79.247615488,primary,True
1061531654,42421745,West 106th Street,20.2907733783,secondary,False
1061531654,1061531717,Broadway,95.5418415757,primary,True
1061531654,42421741,West 106th Street,200.546167533,secondary,False
4163940359,2141026497,West 120th Street,15.5644896488,residential,True
4163940359,42439852,Adam Clayton Powell Jr. Boulevard,79.7511876421,primary,True
42459180,596776386,East 109th Street,25.803583166,residential,True
42459180,42434382,Park Avenue,80.4675096788,secondary,True
370892861,370894980,FDR Drive,539.767471864,motorway,True
42449589,42428473,East 8th Street,81.2061233058,secondary,True
42449589,42433292,Mercer Street,128.705418668,residential,True
42427744,42432000,Madison Street,258.587106135,residential,False
42427744,42437786,Madison Street,127.163000428,residential,False
42427744,42427747,Jackson Street,149.86170646,residential,False
42427744,42427742,Jackson Street,79.113233476,residential,True
42422283,42438468,Dover Street,103.622179342,secondary,True
42422283,42433229,Pearl Street,101.186681395,primary,False
42422283,278609934,Pearl Street,15.530726059,primary,False
42422283,4158673495,Frankfort Street,177.501564978,secondary,False
42451018,589100232,Avenue C,83.328436462,primary,False
42451018,42439191,Avenue C,163.336305163,primary,False
246890579,42440532,Clarkson Street,17.0765067214,secondary,True
246890579,246857084,West Street,79.1471082871,trunk,True
42442836,1773082410,East Houston Street,113.781591554,primary,True
42442766,42442770,Amsterdam Avenue,76.4464287822,secondary,False
42442766,42450275,West 189th Street,140.792766597,residential,True
